"Player","frequency"
"Al Horford",4
"Allan Houston",1
"Allen Iverson",10
"Alonzo Mourning",2
"Amar'e Stoudemire",6
"Andre Drummond",1
"Andre Iguodala",1
"Andrei Kirilenko",1
"Andrew Bynum",1
"Antawn Jamison",2
"Anthony Davis",4
"Anthony Mason",1
"Antoine Walker",2
"Antonio Davis",1
"Antonio McDyess",1
"Baron Davis",2
"Ben Wallace",4
"Blake Griffin",5
"Brad Miller",2
"Brandon Roy",3
"Brook Lopez",1
"Carlos Boozer",2
"Carmelo Anthony",9
"Caron Butler",2
"Chauncey Billups",5
"Chris Bosh",11
"Chris Kaman",1
"Chris Paul",9
"Chris Webber",3
"Damian Lillard",2
"Danny Granger",1
"David Lee",2
"David Robinson",1
"David West",2
"DeAndre Jordan",1
"DeMar DeRozan",3
"DeMarcus Cousins",3
"Deron Williams",3
"Derrick Rose",3
"Devin Harris",1
"Dikembe Mutombo",2
"Dirk Nowitzki",13
"Draymond Green",2
"Dwight Howard",8
"Dwyane Wade",12
"Elton Brand",2
"Gary Payton",3
"Gerald Wallace",1
"Giannis Antetokounmpo",1
"Gilbert Arenas",3
"Glenn Robinson",1
"Gordon Hayward",1
"Grant Hill",2
"Isaiah Thomas",2
"Jamaal Magloire",1
"Jamal Mashburn",1
"Jameer Nelson",1
"James Harden",5
"Jason Kidd",7
"Jeff Teague",1
"Jermaine O'Neal",6
"Jerry Stackhouse",1
"Jimmy Butler",3
"Joakim Noah",2
"Joe Johnson",7
"John Wall",4
"Josh Howard",1
"Jrue Holiday",1
"Karl Malone",2
"Kawhi Leonard",2
"Kemba Walker",1
"Kenyon Martin",1
"Kevin Durant",8
"Kevin Garnett",12
"Kevin Love",4
"Klay Thompson",3
"Kobe Bryant",16
"Kyle Korver",1
"Kyle Lowry",3
"Kyrie Irving",4
"LaMarcus Aldridge",5
"Latrell Sprewell",1
"LeBron James",13
"Luol Deng",2
"Manu Ginobili",2
"Marc Gasol",3
"Mehmet Okur",1
"Metta World Peace",1
"Michael Finley",1
"Michael Jordan",2
"Michael Redd",1
"Mo Williams",1
"Pau Gasol",6
"Paul George",4
"Paul Millsap",4
"Paul Pierce",10
"Peja Stojakovic",3
"Rajon Rondo",4
"Rashard Lewis",2
"Rasheed Wallace",3
"Ray Allen",9
"Richard Hamilton",3
"Roy Hibbert",2
"Russell Westbrook",6
"Sam Cassell",1
"Shaquille O'Neal",8
"Shareef Abdur-Rahim",1
"Shawn Marion",4
"Stephen Curry",4
"Stephon Marbury",2
"Steve Francis",3
"Steve Nash",8
"Theo Ratliff",1
"Tim Duncan",13
"Tony Parker",6
"Tracy McGrady",7
"Tyson Chandler",1
"Vince Carter",7
"Vlade Divac",1
"Wally Szczerbiak",1
"Yao Ming",8
"Zach Randolph",2
"Zydrunas Ilgauskas",2
